"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","nobs","time2d","time2.orig","r.est2","r.est1"
"1","L2",1.76458333333333,0.981944444444444,20,TRUE,30,"IPU","F0",21,1,0.764583333333333,1.76458333333333,0.761736598770567,0.426066305237931
"2","L2",1.81319444444444,0.981944444444444,20,TRUE,35,"IPU","F0",26,2,0.813194444444445,1.81319444444444,0.777328144522073,0.480902789752234
"3","L2",2.76805555555556,0.981944444444444,20,TRUE,30,"IPU","F0",21,37,1.76805555555556,2.76805555555556,0.572408064522275,0.320168673452587
"4","L2",2.81319444444444,0.981944444444444,20,TRUE,35,"IPU","F0",26,15,1.81319444444444,2.81319444444444,0.602074569860602,0.372481725603849
"5","L2",2.94097222222222,0.997916666666667,20,TRUE,30,"ON","F1",181,9,1.94097222222222,2.94097222222222,0.456033717906929,0.174704107389011
"6","L2",2.99166666666667,0.984027777777778,20,TRUE,35,"ON","F1",186,1,1.99166666666667,2.99166666666667,0.34509170277531,0.00812688744606515
"7","L2",3,0,25,FALSE,25,"AB","F1",51,24,2,3,0.5,0.333333333333333
"8","L2",3,0,25,FALSE,25,"IPU","F0",16,92,2,3,0.5,0.333333333333333
"9","L2",3,0,25,FALSE,25,"ON","F1",176,1,2,3,0.5,0.333333333333333
"10","L2",3,0,25,FALSE,25,"QC","F1",211,8,2,3,0.5,0.333333333333333
"11","L2",3.04166666666667,0.916666666666667,20,TRUE,30,"QC","F1",216,10,2.04166666666667,3.04166666666667,0.58916174492243,0.343386876355442
"12","L2",3.04166666666667,0.916666666666667,20,TRUE,35,"IN","F1",91,1,2.04166666666667,3.04166666666667,0.186459040136361,0
"13","L2",3.08333333333333,0.916666666666667,20,TRUE,30,"NB2","F1",146,7,2.08333333333333,3.08333333333333,0.525069495526369,0.253469305955171
"14","L2",3.125,0.833333333333333,20,TRUE,30,"AB","F1",56,3,2.125,3.125,0.578411115636955,0.285905608604572
"15","L2",3.27777777777778,3.75,20,TRUE,10,"IPU","F0",1,66,2.27777777777778,3.27777777777778,0.135582651251959,0.0780038159691438
"16","L2",3.76458333333333,0.981944444444444,20,TRUE,30,"IPU","F0",21,68,2.76458333333333,3.76458333333333,0.459091257905436,0.256786713949613
"17","L2",3.85486111111111,0.981944444444444,20,TRUE,35,"IPU","F0",26,42,2.85486111111111,3.85486111111111,0.48756884365165,0.301641989772801
"18","L2",3.91666666666667,1.04166666666667,20,TRUE,35,"QC","F1",221,42,2.91666666666667,3.91666666666667,0.1650834946225,0
"19","L2",3.95208333333333,0.997916666666667,20,TRUE,30,"ON","F1",181,80,2.95208333333333,3.95208333333333,0.355204235235431,0.136076884254897
"20","L2",3.98472222222222,0.984027777777778,20,TRUE,35,"ON","F1",186,16,2.98472222222222,3.98472222222222,0.259606227441303,0.00611372370417103
"21","L2",4,0,25,FALSE,25,"AB","F1",51,38,3,4,0.333333333333333,0.25
"22","L2",4,0,25,FALSE,25,"IN","F1",81,57,3,4,0.333333333333333,0.25
"23","L2",4,0,25,FALSE,25,"IPU","F0",16,68,3,4,0.333333333333333,0.25
"24","L2",4,0,25,FALSE,25,"NB2","F1",141,19,3,4,0.333333333333333,0.25
"25","L2",4,0,25,FALSE,25,"ON","F1",176,43,3,4,0.333333333333333,0.25
