"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","cup","sex","time2d","time2.orig"
"L2.20C1...1","L2",7.20833333333333,3.75,20,TRUE,10,"AB","F1",36,1,"M",6.20833333333333,7.20833333333333
"L2.20C2...2","L2",5.16666666666667,3.75,20,TRUE,10,"AB","F1",36,2,"M",4.16666666666667,5.16666666666667
"L2.20C3...3","L2",7.20833333333333,3.75,20,TRUE,10,"AB","F1",36,3,"M",6.20833333333333,7.20833333333333
"L2.20C4...4","L2",4.20833333333333,3.75,20,TRUE,10,"AB","F1",36,4,"M",3.20833333333333,4.20833333333333
"L2.20C5...5","L2",5.16666666666667,3.75,20,TRUE,10,"AB","F1",36,5,"M",4.16666666666667,5.16666666666667
"L2.20C6...6","L2",5.16666666666667,3.75,20,TRUE,10,"AB","F1",36,6,"M",4.16666666666667,5.16666666666667
"L2.20C7...7","L2",4.20833333333333,3.75,20,TRUE,10,"AB","F1",36,7,"F",3.20833333333333,4.20833333333333
"L2.20C8...8","L2",7.20833333333333,3.75,20,TRUE,10,"AB","F1",36,8,"M",6.20833333333333,7.20833333333333
"L2.20C9...9","L2",4.20833333333333,3.75,20,TRUE,10,"AB","F1",36,9,"M",3.20833333333333,4.20833333333333
"L2.20C10...10","L2",5.16666666666667,3.75,20,TRUE,10,"AB","F1",36,10,"M",4.16666666666667,5.16666666666667
"L2.20C11...11","L2",7.20833333333333,3.75,20,TRUE,10,"AB","F1",36,11,"M",6.20833333333333,7.20833333333333
"L2.20C12...12","L2",6.16666666666667,3.75,20,TRUE,10,"AB","F1",36,12,"F",5.16666666666667,6.16666666666667
"L2.20C13...13","L2",6.16666666666667,3.75,20,TRUE,10,"AB","F1",36,13,"M",5.16666666666667,6.16666666666667
"L2.20C14...14","L2",6.16666666666667,3.75,20,TRUE,10,"AB","F1",36,14,"F",5.16666666666667,6.16666666666667
"L2.20C15...15","L2",5.16666666666667,3.75,20,TRUE,10,"AB","F1",36,15,"M",4.16666666666667,5.16666666666667
"L3.20C1...16","L3",4.08333333333333,7.79166666666667,20,TRUE,10,"AB","F1",37,1,"M",2.08333333333333,3.08333333333333
"L3.20C2...17","L3",3.25,7.79166666666667,20,TRUE,10,"AB","F1",37,2,"M",1.25,2.25
"L3.20C3...18","L3",4.08333333333333,7.79166666666667,20,TRUE,10,"AB","F1",37,3,"M",2.08333333333333,3.08333333333333
"L3.20C4...19","L3",3.125,7.75,20,TRUE,10,"AB","F1",37,4,"M",1.125,2.125
"L3.20C5...20","L3",4.20833333333333,7.79166666666667,20,TRUE,10,"AB","F1",37,5,"M",2.20833333333333,3.20833333333333
"L3.20C6...21","L3",3.25,7.79166666666667,20,TRUE,10,"AB","F1",37,6,"M",1.25,2.25
"L3.20C7...22","L3",3.125,7.75,20,TRUE,10,"AB","F1",37,7,"F",1.125,2.125
"L3.20C8...23","L3",5.04166666666667,7.79166666666667,20,TRUE,10,"AB","F1",37,8,"M",3.04166666666667,4.04166666666667
"L3.20C9...24","L3",3.125,7.75,20,TRUE,10,"AB","F1",37,9,"M",1.125,2.125
"L3.20C10...25","L3",3.25,7.79166666666667,20,TRUE,10,"AB","F1",37,10,"M",1.25,2.25
"L3.20C11...26","L3",4.08333333333333,7.79166666666667,20,TRUE,10,"AB","F1",37,11,"M",2.08333333333333,3.08333333333333
"L3.20C12...27","L3",4.08333333333333,7.79166666666667,20,TRUE,10,"AB","F1",37,12,"F",2.08333333333333,3.08333333333333
"L3.20C13...28","L3",2.25,7.79166666666667,20,TRUE,10,"AB","F1",37,13,"M",0.25,1.25
"L3.20C14...29","L3",4.08333333333333,7.79166666666667,20,TRUE,10,"AB","F1",37,14,"F",2.08333333333333,3.08333333333333
"L3.20C15...30","L3",3.25,7.79166666666667,20,TRUE,10,"AB","F1",37,15,"M",1.25,2.25
"L4.20C1...31","L4",3.95833333333333,6,20,TRUE,10,"AB","F1",38,1,"M",1.95833333333333,2.95833333333333
"L4.20C2...32","L4",3.08333333333333,5.79166666666667,20,TRUE,10,"AB","F1",38,2,"M",1.08333333333333,2.08333333333333
"L4.20C3...33","L4",2.95833333333333,6,20,TRUE,10,"AB","F1",38,3,"M",0.958333333333333,1.95833333333333
"L4.20C4...34","L4",4.125,5.875,20,TRUE,10,"AB","F1",38,4,"M",2.125,3.125
