"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.60876385243659,6.84303213321554,9.75096748704278,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1,3.31202759472679,4.56817867930916,6.27298703109214,1
"L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1,3.31202759472679,4.56817867930916,6.27298703109214,1
"L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,1,1,3.31202759472679,4.56817867930916,6.27298703109214,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,3.31166796749043,4.56815260985306,6.27298660624138,1
"L3",2.208333,10.75,20,TRUE,5,"ON","F1",192,0.2083333,1.208333,1,1,3.31196765205903,4.56817433405222,6.27298696027802,0
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,3.31166796749043,4.56815260985306,6.27298660624138,1
"L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,3.31166796749043,4.56815260985306,6.27298660624138,1
"L3",3.958333,10.95833,20,TRUE,5,"ON","F1",192,1.958333,2.958333,1,1,3.31166796749043,4.56815260985306,6.27298660624138,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,1,1,3.16620352664853,4.35551501689054,5.87698654351305,1
"L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,3.16620352664853,4.35551501689054,5.87698654351305,1
