"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs"
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,5,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,3,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,8,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,7,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,8,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,9,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,2,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,9,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,9,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,5,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,10,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,8,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,7,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,3,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,5,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,3,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,2,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,9,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,7,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,2,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,2,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,8,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,4,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,10,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,6,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,8,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,4,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,10,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,8,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,2,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,2,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,4,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,9,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,7,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,5,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,6,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,7,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,5,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,7,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,10,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,7,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,5,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,4,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,4,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,3,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,10,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,7,1
"L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,1,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,5,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,8,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,3,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,4,1
"L2",8.125,8.708333,20,TRUE,5,"ON","F1",191,7.125,8.125,3,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,4,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,10,1
"L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,5,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1
"L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,9,1
