"province","temp","rate","time"
"IN",0,0.000284433419738649,3515.76126674985
"IPU",0,0.000801108985040357,1248.26961301584
"NB2",0,0.000946278992075291,1056.77079224858
"ON",0,0.000828499057118296,1207.00197761957
"QC",0,0.000582372534593612,1717.11397179356
"IN",0.1,0.000303257081831626,3297.53225763644
"IPU",0.1,0.000844161737298811,1184.60714176662
"NB2",0.1,0.000991809728563629,1008.25790666183
"ON",0.1,0.000864203898402666,1157.13433965549
"QC",0.1,0.000612027380248215,1633.91388259935
"IN",0.2,0.000323335144958505,3092.76625638583
"IPU",0.2,0.000890313609011916,1123.19974603625
"NB2",0.2,0.00104023901053654,961.317574909776
"ON",0.2,0.000902150493659644,1108.46250973632
"QC",0.2,0.000643476105836301,1554.05927507422
"IN",0.3,0.000344376911292959,2903.79514007992
"IPU",0.3,0.000938916473144646,1065.05748008111
"NB2",0.3,0.00109119664087466,916.425175695395
"ON",0.3,0.000941539387297703,1062.09050507649
"QC",0.3,0.000676757748721229,1477.63361995777
"IN",0.4,0.000368206378458343,2715.86833484618
"IPU",0.4,0.000990153134682089,1009.94479621586
"NB2",0.4,0.00114348479561379,874.519720294314
"ON",0.4,0.000984169619447168,1016.08507183487
"QC",0.4,0.000712129520214436,1404.23895171408
"IN",0.5,0.000391893114823465,2551.71746331201
"IPU",0.5,0.00104410125721129,957.761513775987
"NB2",0.5,0.00119754214421625,835.04368096143
"ON",0.5,0.00102732667049162,973.400281015203
"QC",0.5,0.000749710117562804,1333.84904111867
"IN",0.6,0.000417758538993768,2393.72738105095
"IPU",0.6,0.00109983180332162,909.229936161778
"NB2",0.6,0.00125666327369804,795.758291623371
"ON",0.6,0.00107188408388057,932.936700575234
"QC",0.6,0.000788521827257549,1268.19573534059
"IN",0.7,0.000444362653720494,2250.41525178459
"IPU",0.7,0.00115823350348234,863.384036129307
"NB2",0.7,0.00131755714912734,758.980369115157
"ON",0.7,0.00111918915999937,893.504014365327
"QC",0.7,0.000828904309092901,1206.41187379986
"IN",0.8,0.000473076076126072,2113.82501947312
"IPU",0.8,0.00122008304948143,819.616350654686
"NB2",0.8,0.00138067032769806,724.285863593137
"ON",0.8,0.00116806997330109,856.113113734374
"QC",0.8,0.000872236854233759,1146.47777522486
"IN",0.9,0.000504112085181189,1983.68583191561
"IPU",0.9,0.00128563554132245,777.825471190514
"NB2",0.9,0.0014463449231945,691.398008859942
"ON",0.9,0.00121922911394571,820.19039273996
"QC",0.9,0.000917975403624934,1089.35384388598
"IN",1,0.000537609345306453,1860.0867920859
"IPU",1,0.00135457323949216,738.2400021896
"NB2",1,0.00151373781207549,660.61644582012
"ON",1,0.00127271240613539,785.723474959876
"QC",1,0.000965044320584548,1036.22184661535
"IN",1.1,0.000572791440957015,1745.83622274196
"IPU",1.1,0.00142602129077204,701.251804602269
"NB2",1.1,0.00158508056410697,630.882777399161
"ON",1.1,0.00132839738378257,752.786793346047
"QC",1.1,0.00101447688668405,985.729703869771
"IN",1.2,0.000610201101744276,1638.80401235297
"IPU",1.2,0.00150132396846191,666.078755172418
"NB2",1.2,0.00166036398574946,602.27757901245
"ON",1.2,0.00138623202489723,721.379965690191
"QC",1.2,0.00106623495751253,937.879600135253
"IN",1.3,0.000650309865519047,1537.72984185339
"IPU",1.3,0.00158073139287804,632.618566553359
"NB2",1.3,0.00173811225104852,575.336835260675
"ON",1.3,0.00144628642864003,691.426096537644
"QC",1.3,0.00112138880439065,891.751375915886
"IN",1.4,0.000693654548310556,1441.63979382039
"IPU",1.4,0.00166479970864145,600.672890222382
"NB2",1.4,0.00182158576257402,548.97223518684
"ON",1.4,0.00150882219708941,662.768618801967
"QC",1.4,0.00118068516613469,846.965902114878
"IN",1.5,0.000738043077037626,1354.93451416346
"IPU",1.5,0.00175378644960057,570.194855249853
"NB2",1.5,0.00190789511120779,524.137828327745
"ON",1.5,0.00157394447404823,635.346451985975
"QC",1.5,0.00123942974561517,806.822658010557
"IN",1.6,0.000785506551940122,1273.06386956561
"IPU",1.6,0.00184644065450272,541.582529660747
"NB2",1.6,0.00199676442843045,500.810250268493
"ON",1.6,0.00164220590805374,608.937040681117
"QC",1.6,0.00130111604168104,768.571004433777
"IN",1.7,0.000836712419159868,1195.15378258232
"IPU",1.7,0.00194484929903604,514.178697880362
"NB2",1.7,0.0020902866695789,478.403286537661
"ON",1.7,0.00171348647034178,583.605427150504
"QC",1.7,0.00136646772724283,731.813847870415
"IN",1.8,0.000890446014341385,1123.03271283626
"IPU",1.8,0.00204792287335509,488.299639737914
"NB2",1.8,0.00218723225679813,457.198818419965
"ON",1.8,0.00178603286332937,559.900116289417
"QC",1.8,0.00143617283621003,696.295025341754
"IN",1.9,0.000947095441989811,1055.85979725208
"IPU",1.9,0.00215300052772167,464.468070083782
"NB2",1.9,0.00228917627046148,436.838364331712
"ON",1.9,0.00186331857438065,536.676880807251
"QC",1.9,0.00150761476841545,663.299421982754
"IN",2,0.00100788067910473,992.181158427186
"IPU",2,0.00226586303716807,441.332965161216
"NB2",2,0.00239506623114223,417.524988298886
"ON",2,0.00194281480999095,514.717097632604
"QC",2,0.00158306918672389,631.684374241222
"IN",2.1,0.0010726824864885,932.242310982773
"IPU",2.1,0.00238458748922949,419.359746584325
"NB2",2.1,0.00250445274225702,399.288842483728
"ON",2.1,0.00202637201768311,493.492811813209
"QC",2.1,0.00166294032552767,601.344494848634
"IN",2.2,0.00114052906774957,876.786071678511
"IPU",2.2,0.00251214870139551,398.065612164788
"NB2",2.2,0.00261793382603991,381.980632407798
"ON",2.2,0.00211150355319855,473.596173694367
"QC",2.2,0.00174664654746003,572.525699483026
"IN",2.3,0.00121440929979787,823.445635264917
"IPU",2.3,0.00264424552347347,378.179708221242
"NB2",2.3,0.00274117473470257,364.807159908052
"ON",2.3,0.00220202965840598,454.126490895341
"QC",2.3,0.00183077530396547,546.216677875554
"IN",2.4,0.00129292802081209,773.438281709785
"IPU",2.4,0.0027802398901189,359.681193049368
"NB2",2.4,0.00286722437599636,348.769364727382
"ON",2.4,0.00229586582408856,435.565523814335
"QC",2.4,0.00192036674593674,520.733871202453
"IN",2.5,0.00137683451723149,726.303696984437
"IPU",2.5,0.00292467842393103,341.917949298106
"NB2",2.5,0.00299756953433734,333.603604683813
"ON",2.5,0.00239230978739359,418.006069155308
"QC",2.5,0.00201483237544419,496.319203616452
"IN",2.6,0.00146637871633023,681.952071592983
"IPU",2.6,0.00307613436238774,325.083329349543
"NB2",2.6,0.00312902789549996,319.588074563126
"ON",2.6,0.00249321360093257,401.088781091392
"QC",2.6,0.00211290506957052,473.282030483123
"IN",2.7,0.00156188889546444,640.250850326651
"IPU",2.7,0.00323438879234339,309.177426886307
"NB2",2.7,0.00327275497526501,305.552975550801
"ON",2.7,0.00259833057321678,384.862500140877
"QC",2.7,0.00221649456165316,451.16284844714
"IN",2.8,0.00166157215195732,601.839649354121
"IPU",2.8,0.00340171827323842,293.96908755161
"NB2",2.8,0.00342083754485087,292.326071402253
"ON",2.8,0.00270768049818038,369.319804021451
"QC",2.8,0.00232497666413737,430.111863372743
"IN",2.9,0.00176627435539976,566.163496750588
"IPU",2.9,0.00358064428285178,279.279347794793
"NB2",2.9,0.00357464515095817,279.748047093947
"ON",2.9,0.00282072692746499,354.518543170592
"QC",2.9,0.00243886557915586,410.026697882295
"IN",3,0.00188010275916897,531.885886339163
"IPU",3,0.00376238849735829,265.788607694732
"NB2",3,0.00373539958941743,267.708976649223
"ON",3,0.00293777333413854,340.393860923837
"QC",3,0.00255973023731868,390.66616807879
"IN",3.1,0.00199926656053832,500.183430550559
"IPU",3.1,0.00395550348567353,252.812331768839
"NB2",3.1,0.00390635825144622,255.992910789067
"ON",3.1,0.00305873639294926,326.932391516541
"QC",3.1,0.00268492560705531,372.449803439818
"IN",3.2,0.00212576007681425,470.419976038878
"IPU",3.2,0.00415759292971779,240.523794205406
"NB2",3.2,0.00408083173925127,245.048084884369
"ON",3.2,0.00318556127945623,313.916430410296
"QC",3.2,0.0028160879845832,355.102574180698
"IN",3.3,0.0022593468837919,442.605788217539
"IPU",3.3,0.00436867916142129,228.90213865955
"NB2",3.3,0.00426808095893913,234.29733640281
"ON",3.3,0.00331678277704662,301.496983038597
"QC",3.3,0.00294890085977373,339.10939984277
"IN",3.4,0.00239995460990641,416.674568204994
"IPU",3.4,0.00458831702456807,217.94484309111
"NB2",3.4,0.00445592297131527,224.420396541604
"ON",3.4,0.0034545185515725,289.475939296517
"QC",3.4,0.00309157464828077,323.459829601571
"IN",3.5,0.00255068317215679,392.051829301978
"IPU",3.5,0.00481927828936242,207.499954121638
"NB2",3.5,0.00465062469697221,215.02487629635
"ON",3.5,0.00359794583440825,277.936378628506
"QC",3.5,0.00323809460448185,308.823593901074
"IN",3.6,0.00271023950455903,368.971091895136
"IPU",3.6,0.0050647590768243,197.442757855473
"NB2",3.6,0.00485461350154934,205.989634826535
"ON",3.6,0.00374508229702596,267.016834425035
"QC",3.6,0.00339612315879248,294.453398352325
"IN",3.7,0.00287858152949733,347.393340153309
"IPU",3.7,0.00531844451911888,188.024902185804
"NB2",3.7,0.00507099267302428,197.200048716498
"ON",3.7,0.0039001224551385,256.402211644528
"QC",3.7,0.00355811867887878,281.047408741941
"IN",3.8,0.00305672124054066,327.147922162186
"IPU",3.8,0.00558392070693131,179.085637588555
"NB2",3.8,0.00529458090434999,188.872361777102
"ON",3.8,0.00405939918442292,246.341874465988
"QC",3.8,0.00372815464016047,268.229220335211
"IN",3.9,0.00325266602364122,307.440110059257
"IPU",3.9,0.00586694878730683,170.44635352897
"NB2",3.9,0.00552270673066266,181.070632349291
"ON",3.9,0.00422341281104117,236.775338993767
"QC",3.9,0.00390666608562087,255.972736774847
"IN",4,0.00345551269247015,289.392658051473
"IPU",4,0.00615841487032562,162.379446838621
"NB2",4,0.00576383723808205,173.495533172058
"ON",4,0.00439721628387249,227.41660789717
"QC",4,0.00409293653571835,244.323358785299
"IN",4.1,0.00367095185321652,272.408916677362
"IPU",4.1,0.0064659033359311,154.65743125928
"NB2",4.1,0.00601122997461386,166.35530591708
"ON",4.1,0.00457833400968651,218.420062568184
"QC",4.1,0.00428389978427873,233.432165444225
"IN",4.2,0.00390258761497801,256.240253891086
"IPU",4.2,0.00677881388794444,147.518433916812
"NB2",4.2,0.00627216226460273,159.434651409616
"ON",4.2,0.00476394646675679,209.910001037334
"QC",4.2,0.00448800713673278,222.816045022906
"IN",4.3,0.00414372574689032,241.328712632983
"IPU",4.3,0.00710122173098183,140.820839495689
"NB2",4.3,0.00654582046776264,152.76923763506
"ON",4.3,0.00496013494588099,201.607418782837
"QC",4.3,0.0047065878042585,212.468150229453
"IN",4.4,0.00440092300811797,227.225089131515
"IPU",4.4,0.00745315671236104,134.171336870136
"NB2",4.4,0.0068231826111352,146.559173014844
"ON",4.4,0.00516272180081115,193.696278703728
"QC",4.4,0.00492833407321606,202.908328794351
"IN",4.5,0.00467252249558141,214.017164611627
"IPU",4.5,0.00781153578208872,128.015800197697
"NB2",4.5,0.00710702904183131,140.705771998246
"ON",4.5,0.00537605393337549,186.010038691941
"QC",4.5,0.00515865280443559,193.84906060817
"IN",4.6,0.00494806762449081,202.099105339625
"IPU",4.6,0.00819030611384369,122.095561545504
"NB2",4.6,0.00740795186873127,134.990078318652
"ON",4.6,0.00559018844289546,178.884846507109
"QC",4.6,0.00539869710292904,185.229877183281
"IN",4.7,0.00524828229590186,190.53853458139
"IPU",4.7,0.00857886413220223,116.565548487338
"NB2",4.7,0.00771608635873321,129.599379105906
"ON",4.7,0.00581534029733006,171.958982736472
"QC",4.7,0.00564211480491396,177.23850625786
"IN",4.8,0.00556856166597321,179.57958632207
"IPU",4.8,0.00899325002126248,111.194507751249
"NB2",4.8,0.0080404992178763,124.370387079025
"ON",4.8,0.00604499906790421,165.425998736739
"QC",4.8,0.0058969432389455,169.579384700468
