"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"1","L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,0,50.2742091907645,Inf,1
"2","L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,0,50.2742091907645,Inf,1
"3","L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,0,50.2742091907645,Inf,1
"4","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,0,50.2742091907645,Inf,1
"5","L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,1,1,0,50.2742091907645,Inf,1
"6","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,0,50.2742091907645,Inf,1
"7","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,0,50.2742091907645,Inf,1
"8","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,0,50.2742091907645,Inf,1
"9","L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1,0,Inf,Inf,1
"10","L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1,0,Inf,Inf,1
"11","L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,1,1,0,Inf,Inf,1
"12","L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,0,Inf,Inf,1
"13","L3",2.208333,10.75,20,TRUE,5,"ON","F1",192,0.2083333,1.208333,1,1,0,Inf,Inf,1
"14","L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,0,Inf,Inf,1
"15","L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,0,Inf,Inf,1
"16","L3",3.958333,10.95833,20,TRUE,5,"ON","F1",192,1.958333,2.958333,1,1,0,Inf,Inf,1
"17","L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,1,1,0,Inf,Inf,1
"18","L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,0,Inf,Inf,1
"19","L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,1,1,0,Inf,Inf,1
"20","L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,0,Inf,Inf,1
"21","L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,1,1,0,Inf,Inf,1
"22","L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,0,Inf,Inf,1
"23","L4",3.083333,19.75,20,TRUE,5,"ON","F1",193,1.083333,2.083333,1,1,0,Inf,Inf,1
"24","L4",6.25,19.875,20,TRUE,5,"ON","F1",193,4.25,5.25,1,1,0,Inf,Inf,1
"25","L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,1,1,0,12.9580802406242,Inf,1
"26","L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,1,1,0,12.9594063431794,Inf,1
"27","L5",4.041667,33.875,20,TRUE,5,"ON","F1",194,2.041667,3.041667,1,1,0,12.9567538197534,Inf,1
"28","L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1,0,12.9594063431794,Inf,1
"29","L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1,0,12.9594063431794,Inf,1
"30","L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1,0,12.9594063431794,Inf,1
"31","L5",5.25,33.875,20,TRUE,5,"ON","F1",194,3.25,4.25,1,1,0,12.9567538197534,Inf,1
"32","L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,1,1,0,12.9594063431794,Inf,1
"33","L6",6.625,31.75,20,TRUE,5,"ON","F1",195,4.625,5.625,1,1,0.120059453386027,Inf,Inf,1
"34","L6",12.625,31.75,20,TRUE,5,"ON","F1",195,10.625,11.625,1,1,0.120059453386027,Inf,Inf,1
