"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"1","L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"2","L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"3","L2",5.291667,8.708333,20,TRUE,5,"ON","F1",191,4.291667,5.291667,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"4","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"5","L2",10.25,8.708333,20,TRUE,5,"ON","F1",191,9.25,10.25,1,1,4.11576518005499,5.98771448011167,8.55160186088895,0
"6","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"7","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"8","L2",6.208333,8.708333,20,TRUE,5,"ON","F1",191,5.208333,6.208333,1,1,4.11576518005499,5.98771448011167,8.55160186088895,1
"9","L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1,2.87195681679631,4.26855629574024,6.14653876521943,1
"10","L3",6.25,10.70833,20,TRUE,5,"ON","F1",192,4.25,5.25,1,1,2.87195681679631,4.26855629574024,6.14653876521943,1
"11","L3",5.125,10.70833,20,TRUE,5,"ON","F1",192,3.125,4.125,1,1,2.87195681679631,4.26855629574024,6.14653876521943,1
"12","L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,2.86317017893261,4.26329091863215,6.14503598369355,1
"13","L3",2.208333,10.75,20,TRUE,5,"ON","F1",192,0.2083333,1.208333,1,1,2.87049225999719,4.26767866268387,6.1462882815947,0
"14","L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,2.86317017893261,4.26329091863215,6.14503598369355,1
"15","L3",5.083333,10.95833,20,TRUE,5,"ON","F1",192,3.083333,4.083333,1,1,2.86317017893261,4.26329091863215,6.14503598369355,1
"16","L3",3.958333,10.95833,20,TRUE,5,"ON","F1",192,1.958333,2.958333,1,1,2.86317017893261,4.26329091863215,6.14503598369355,1
"17","L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,1,1,2.28204493118977,3.4356170329608,4.96047094975773,1
"18","L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,2.28204493118977,3.4356170329608,4.96047094975773,1
"19","L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,1,1,2.27580796409241,3.42982874287247,4.95526622042402,1
"20","L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,2.28204493118977,3.4356170329608,4.96047094975773,1
"21","L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,1,1,2.27996577583819,3.43368744857696,4.95873590118705,1
"22","L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1,2.28204493118977,3.4356170329608,4.96047094975773,1
"23","L4",3.083333,19.75,20,TRUE,5,"ON","F1",193,1.083333,2.083333,1,1,2.28204493118977,3.4356170329608,4.96047094975773,1
"24","L4",6.25,19.875,20,TRUE,5,"ON","F1",193,4.25,5.25,1,1,2.27580796409241,3.42982874287247,4.95526622042402,1
"25","L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,1,1,2.21728544530119,3.62568453303406,5.56622870792058,1
"26","L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,1,1,2.21883511090751,3.62715024849421,5.56758037732561,1
"27","L5",4.041667,33.875,20,TRUE,5,"ON","F1",194,2.041667,3.041667,1,1,2.21573540771559,3.6242184657459,5.56487671406298,1
"28","L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1,2.21883511090751,3.62715024849421,5.56758037732561,1
"29","L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1,2.21883511090751,3.62715024849421,5.56758037732561,1
"30","L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1,2.21883511090751,3.62715024849421,5.56758037732561,1
"31","L5",5.25,33.875,20,TRUE,5,"ON","F1",194,3.25,4.25,1,1,2.21573540771559,3.6242184657459,5.56487671406298,1
"32","L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,1,1,2.21883511090751,3.62715024849421,5.56758037732561,1
"33","L6",6.625,31.75,20,TRUE,5,"ON","F1",195,4.625,5.625,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"34","L6",12.625,31.75,20,TRUE,5,"ON","F1",195,10.625,11.625,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"35","L6",7.625,31.95833,20,TRUE,5,"ON","F1",195,5.625,6.625,1,1,4.95811171036963,7.92332591815267,12.2126300364905,1
"36","L6",9.583333,31.75,20,TRUE,5,"ON","F1",195,7.583333,8.583333,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"37","L6",7.583333,31.75,20,TRUE,5,"ON","F1",195,5.583333,6.583333,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"38","L6",7.583333,31.75,20,TRUE,5,"ON","F1",195,5.583333,6.583333,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"39","L6",6.625,31.75,20,TRUE,5,"ON","F1",195,4.625,5.625,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"40","L6",8.625,31.75,20,TRUE,5,"ON","F1",195,6.625,7.625,1,1,4.96585245761915,7.9299188320301,12.2175658708592,1
"41","L2",10.25,3.791667,20,TRUE,10,"ON","F1",161,9.25,10.25,1,1,3.71424759734351,5.49752775666825,7.90635078296539,0
"42","L2",7.041667,3.791667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"43","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"44","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"45","L2",7.041667,3.791667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"46","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"47","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"48","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"49","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"50","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"51","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"52","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"53","L2",5.166667,3.791667,20,TRUE,10,"ON","F1",161,4.166667,5.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"54","L2",6.166667,3.791667,20,TRUE,10,"ON","F1",161,5.166667,6.166667,1,1,3.71424759734351,5.49752775666825,7.90635078296539,1
"55","L2",7.041667,2.916667,20,TRUE,10,"ON","F1",161,6.041667,7.041667,1,1,3.97695004874362,5.74847721285786,8.14106115373425,1
"56","L3",6.291667,7.666667,20,TRUE,10,"ON","F1",162,4.291667,5.291667,1,1,1.56797532861332,2.83360842942395,4.5769635623068,1
"57","L3",4.041667,7.958333,20,TRUE,10,"ON","F1",162,2.041667,3.041667,1,1,1.50404940948409,2.77043808665609,4.51480278168771,1
"58","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,1.5314462945895,2.79751115258075,4.54144317713108,1
"59","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,1.54971081160141,2.81555979100235,4.55920336971894,1
"60","L3",5.083333,7.958333,20,TRUE,10,"ON","F1",162,3.083333,4.083333,1,1,1.50404940948409,2.77043808665609,4.51480278168771,1
"61","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,1.54971081160141,2.81555979100235,4.55920336971894,1
"62","L3",3.208333,7.75,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,1.54971081160141,2.81555979100235,4.55920336971894,1
"63","L3",3.208333,7.833333,20,TRUE,10,"ON","F1",162,1.208333,2.208333,1,1,1.5314462945895,2.79751115258075,4.54144317713108,1
