"dev.low","dev.high","base","date"
0.00417334923763852,0.0197910532730566,0.005,2020-04-01
0.00576387783442747,0.0172116164553847,0.025,2020-04-01
0.00655550516222414,0.015985653859512,0.05,2020-04-01
0.00887550267163771,0.012652575552742,0.25,2020-04-01
0.010651557035159,0.010651557035159,0.5,2020-04-01
0.00489369718458857,0.0276646057425127,0.005,2020-04-02
0.00709324606387158,0.0235385462052038,0.025,2020-04-02
0.0082553799343212,0.0217329044294584,0.05,2020-04-02
0.0115847243310896,0.0169566681796397,0.25,2020-04-02
0.0141186574526283,0.0141186574526283,0.5,2020-04-02
0.00955016884335855,0.0463615146267534,0.005,2020-04-03
0.0131742965901129,0.039903601250874,0.025,2020-04-03
0.0150293950945853,0.0370237008644824,0.05,2020-04-03
0.0204833836766926,0.0292721935930739,0.25,2020-04-03
0.0246361313613083,0.0246361313613083,0.5,2020-04-03
0.0200621877961731,0.075071335116364,0.005,2020-04-04
0.0250726978543779,0.0655646399386084,0.025,2020-04-04
0.0276610769993662,0.0611629600239647,0.05,2020-04-04
0.0358672312395513,0.0492963592904479,0.25,2020-04-04
0.0422160978973452,0.0422160978973452,0.5,2020-04-04
0.0218437521991723,0.0865694316334679,0.005,2020-04-05
0.027792505087827,0.0752737884665783,0.025,2020-04-05
0.0308721486951072,0.0701060897026116,0.05,2020-04-05
0.0404785668585707,0.0561825756319868,0.25,2020-04-05
0.0479009083371838,0.0479009083371838,0.5,2020-04-05
0.0258808391338778,0.105709981993844,0.005,2020-04-06
0.0333745324787133,0.0919708949520577,0.025,2020-04-06
0.0372194556945371,0.0856192654556473,0.05,2020-04-06
0.0491042845325096,0.0685025796207879,0.25,2020-04-06
0.0582695450998149,0.0582695450998149,0.5,2020-04-06
0.0276465421187596,0.117641539485912,0.005,2020-04-07
0.0361022499297597,0.101952251440439,0.025,2020-04-07
0.0404626070064221,0.0948234418999407,0.05,2020-04-07
0.0538119188018308,0.075583470741086,0.25,2020-04-07
0.0640990865491063,0.0640990865491063,0.5,2020-04-07
0.0278878975273659,0.121559558951513,0.005,2020-04-08
0.0366181061409422,0.10482926560774,0.025,2020-04-08
0.0411395802788537,0.0973913219482651,0.05,2020-04-08
0.0549286092321156,0.0774105670929471,0.25,2020-04-08
0.0655478893340964,0.0655478893340964,0.5,2020-04-08
0.0280873807735993,0.125337163902584,0.005,2020-04-09
0.037041080226488,0.1074584948504,0.025,2020-04-09
0.0416831568247097,0.0996836302358671,0.05,2020-04-09
0.0558623674643989,0.0789728523530756,0.25,2020-04-09
0.0667578015221486,0.0667578015221486,0.5,2020-04-09
0.0282864211467117,0.129249810870905,0.005,2020-04-10
0.0374462720232511,0.110185021014372,0.025,2020-04-10
0.0422225439990626,0.102018606855981,0.05,2020-04-10
0.0567620402250649,0.0805089888974641,0.25,2020-04-10
0.0679421963429719,0.0679421963429719,0.5,2020-04-10
0.0295510414574471,0.14086891740533,0.005,2020-04-11
0.039629218279962,0.119725612770785,0.025,2020-04-11
0.044906296192852,0.110682906387481,0.05,2020-04-11
0.0608470004896541,0.0869450838501338,0.25,2020-04-11
0.0731138627611037,0.0731138627611037,0.5,2020-04-11
0.0302273837534554,0.149211215407092,0.005,2020-04-12
0.0408322653704832,0.12619604915322,0.025,2020-04-12
0.0464310795004235,0.116371372825567,0.05,2020-04-12
0.063284718544193,0.0909518852306823,0.25,2020-04-12
0.0762680875301441,0.0762680875301441,0.5,2020-04-12
0.0304276708003022,0.153803039306042,0.005,2020-04-13
0.0412494050682678,0.129388920606159,0.025,2020-04-13
0.0469978113088677,0.119079900917266,0.05,2020-04-13
0.0642360215302722,0.092651022061669,0.25,2020-04-13
0.0775425225377191,0.0775425225377191,0.5,2020-04-13
0.0306175226456188,0.158198680215336,0.005,2020-04-14
0.0416162762841956,0.132368938741352,0.025,2020-04-14
0.0474826658581125,0.12159219622031,0.05,2020-04-14
0.0650752259148484,0.0942001693031592,0.25,2020-04-14
0.0786775845135022,0.0786775845135022,0.5,2020-04-14
0.030801541430694,0.162703765883811,0.005,2020-04-15
0.0419855234517333,0.135431378820533,0.025,2020-04-15
0.0479570226616903,0.124141991365411,0.05,2020-04-15
0.0659046848986461,0.0957332507429251,0.25,2020-04-15
0.0798065199768195,0.0798065199768195,0.5,2020-04-15
0.0309773498706064,0.167169135450449,0.005,2020-04-16
0.0423472580940256,0.138546962066211,0.025,2020-04-16
0.0484308765010533,0.126726988003972,0.05,2020-04-16
0.0667246859844862,0.0972766668409856,0.25,2020-04-16
0.0809270241554588,0.0809270241554588,0.5,2020-04-16
0.0313947846003535,0.174061544800549,0.005,2020-04-17
0.0431242514079705,0.143659703456599,0.025,2020-04-17
0.0494402174818797,0.131153241377878,0.05,2020-04-17
0.0683626562860023,0.100158503415493,0.25,2020-04-17
0.0831017791499645,0.0831017791499645,0.5,2020-04-17
0.0346544130382901,0.191870801761128,0.005,2020-04-18
0.0479761009874723,0.159339701727468,0.025,2020-04-18
0.0551406417438883,0.145798138003009,0.05,2020-04-18
0.076480328026983,0.111969522074279,0.25,2020-04-18
0.0930201727641538,0.0930201727641538,0.5,2020-04-18
0.0348282322220693,0.196458154264277,0.005,2020-04-19
0.0483319136561908,0.162440924611491,0.025,2020-04-19
0.0556065867932879,0.148443302704854,0.05,2020-04-19
0.0772949193227927,0.113502785043473,0.25,2020-04-19
0.0941407876946966,0.0941407876946966,0.5,2020-04-19
0.035320565099846,0.203823226474185,0.005,2020-04-20
0.0492220155242432,0.168038708889058,0.025,2020-04-20
0.0567494772492844,0.153274057011154,0.05,2020-04-20
0.0791576393246689,0.116736636921723,0.25,2020-04-20
0.0966012910707287,0.0966012910707287,0.5,2020-04-20
0.0355002098722353,0.208399700993582,0.005,2020-04-21
0.0495703265195155,0.171218473000293,0.025,2020-04-21
0.0572207221626325,0.155924847547406,0.05,2020-04-21
0.0799643171219097,0.118287579818997,0.25,2020-04-21
0.0977058143808242,0.0977058143808242,0.5,2020-04-21
0.0356791304291969,0.212901061683021,0.005,2020-04-22
0.0499250429056986,0.174467005451605,0.025,2020-04-22
0.057670540609001,0.158638025821492,0.05,2020-04-22
0.080761028001378,0.119828482785741,0.25,2020-04-22
0.0988047177818465,0.0988047177818465,0.5,2020-04-22
0.0360269117538375,0.21942394773057,0.005,2020-04-23
0.0506076398357877,0.179350979069947,0.025,2020-04-23
0.0585611145694618,0.162854985795517,0.05,2020-04-23
0.0822341123436896,0.122498461271211,0.25,2020-04-23
0.100779227036426,0.100779227036426,0.5,2020-04-23
0.0403072858115416,0.237083933190417,0.005,2020-04-24
0.0564367225760012,0.194800920918921,0.025,2020-04-24
0.0651700370828168,0.177418538669528,0.05,2020-04-24
0.0910926799177468,0.134658614744058,0.25,2020-04-24
0.111275311388178,0.111275311388178,0.5,2020-04-24
0.0500613631606017,0.264303615345503,0.005,2020-04-25
0.0681412035642438,0.219629341473279,0.025,2020-04-25
0.0777832541113213,0.2011013375679,0.05,2020-04-25
0.106727548886193,0.154903701066302,0.25,2020-04-25
0.129144637733712,0.129144637733712,0.5,2020-04-25
0.0528984947221775,0.280314645030308,0.005,2020-04-26
0.0723250601899601,0.233368353522491,0.025,2020-04-26
